ID,SEXO,EDAD,GRADO_INSTRUCCION,TIPO_CARGO,EXPERIENCIA,GERENCIA,CREDIBILIDAD,RESPETO,IMPARCIALIDAD,ORGULLO,CAMARADERIA,GENERAL,TARGET,SCORE_SENTIMENT
615,Femenino,2.0,1.0,1.0,0.0,Operaciones,4.625,4.8,4.458333333,4.666666667,4.85,5.0,PROMOTOR,0.8448
616,Femenino,1.0,0.0,1.0,2.0,Operaciones,4.25,4.5,4.666666667,4.8888888889999995,4.65,5.0,PROMOTOR,0.5718
618,Masculino,1.0,1.0,1.0,0.0,Operaciones,4.21875,4.2,4.375,4.222222222,4.5,5.0,PROMOTOR,0.9743
620,Femenino,3.0,4.0,4.0,5.0,Operaciones,4.9375,5.0,5.0,4.8888888889999995,4.95,5.0,PROMOTOR,0.7796
622,Masculino,1.0,3.0,4.0,0.0,Operaciones,4.59375,4.8,4.875,4.6111111110000005,4.65,5.0,PROMOTOR,0.3303
623,Femenino,2.0,2.0,4.0,3.0,Operaciones,4.1875,4.5,4.25,4.333333333,4.45,5.0,PROMOTOR,0.7002
624,Masculino,1.0,5.0,4.0,0.0,Operaciones,4.875,4.4,4.666666667,4.722222222,4.65,4.0,PROMOTOR,0.2349
625,Femenino,1.0,2.0,3.0,0.0,Operaciones,3.96875,4.266666667,4.083333333,4.1111111110000005,4.4,5.0,PROMOTOR,0.9768
627,Masculino,0.0,2.0,3.0,0.0,Operaciones,2.8125,2.066666667,2.333333333,3.333333333,3.05,3.0,DETRACTOR,0.5211
628,Femenino,1.0,2.0,3.0,1.0,Operaciones,3.3125,3.7,3.625,3.611111111,3.75,3.0,DETRACTOR,0.919
631,Femenino,1.0,2.0,3.0,0.0,Operaciones,3.90625,3.933333333,3.541666667,4.3888888889999995,4.15,5.0,PROMOTOR,0.9338
634,Femenino,1.0,4.0,3.0,0.0,Operaciones,2.9375,3.066666667,2.791666667,4.166666667,3.25,3.0,DETRACTOR,0.8726
635,Femenino,1.0,3.0,3.0,1.0,Operaciones,4.4375,4.0,4.25,4.3888888889999995,4.1,5.0,PROMOTOR,0.0848
636,Femenino,0.0,1.0,3.0,0.0,Operaciones,4.5625,4.666666667,4.541666667,4.3888888889999995,4.4,5.0,PROMOTOR,0.6767
637,Femenino,1.0,4.0,3.0,1.0,Operaciones,3.25,3.1,2.541666667,2.833333333,3.4,3.0,DETRACTOR,0.0025
638,Femenino,1.0,3.0,3.0,0.0,Operaciones,4.9375,5.0,5.0,5.0,5.0,5.0,PROMOTOR,0.661
640,Femenino,1.0,3.0,3.0,0.0,Operaciones,4.125,4.066666667,4.083333333,4.333333333,4.1,4.0,PROMOTOR,0.3117
642,Masculino,1.0,2.0,0.0,0.0,Operaciones,4.59375,4.8,4.583333333,4.555555556,4.75,5.0,PROMOTOR,0.8142
645,Masculino,1.0,0.0,0.0,3.0,Operaciones,2.375,1.9333333330000002,2.125,2.277777778,2.0,2.0,DETRACTOR,0.2647
647,Femenino,1.0,1.0,0.0,1.0,Operaciones,2.46875,3.1,2.875,3.388888889,3.15,2.0,DETRACTOR,0.6231
650,Masculino,2.0,1.0,4.0,4.0,Operaciones,5.0,4.666666667,4.833333333,5.0,5.0,5.0,PROMOTOR,0.8306
651,Masculino,2.0,4.0,4.0,4.0,Operaciones,3.84375,4.066666667,4.0,4.777777778,4.5,4.0,PROMOTOR,0.8773
652,Masculino,1.0,1.0,4.0,3.0,Operaciones,5.0,5.0,5.0,5.0,5.0,5.0,PROMOTOR,0.0041
655,Femenino,2.0,2.0,3.0,4.0,Operaciones,4.875,4.766666667,4.458333333,4.944444444,4.85,5.0,PROMOTOR,0.6153
656,Femenino,2.0,2.0,3.0,1.0,Operaciones,4.0625,4.6,4.0,4.5,4.6,5.0,PROMOTOR,0.1532
659,Masculino,1.0,4.0,3.0,0.0,Operaciones,4.84375,4.9,4.75,4.722222222,4.8,5.0,PROMOTOR,0.5607
660,Masculino,1.0,4.0,3.0,0.0,Operaciones,4.0625,3.9666666669999997,4.125,4.1111111110000005,4.3,4.0,PROMOTOR,0.3702
664,Masculino,4.0,4.0,4.0,4.0,Operaciones,4.03125,4.2,4.416666667,3.666666667,3.9,4.5,PROMOTOR,0.9822
665,Masculino,2.0,2.0,4.0,4.0,Operaciones,4.28125,4.266666667,4.125,4.6111111110000005,4.45,5.0,PROMOTOR,0.309
666,Masculino,4.0,2.0,0.0,3.0,Operaciones,3.1875,3.666666667,3.166666667,3.833333333,3.4,2.0,DETRACTOR,0.2961
669,Masculino,2.0,0.0,0.0,4.0,Operaciones,2.65625,2.9666666669999997,2.75,3.222222222,3.4,3.0,DETRACTOR,0.2618
670,Masculino,2.0,1.0,0.0,4.0,Operaciones,2.90625,2.8,2.458333333,4.166666667,3.45,4.0,DETRACTOR,0.6378
674,Femenino,1.0,3.0,4.0,0.0,Operaciones,4.625,4.366666667,4.666666667,4.8888888889999995,4.8,5.0,PROMOTOR,0.7972
677,Masculino,1.0,3.0,3.0,1.0,Operaciones,4.34375,4.666666667,4.333333333,4.777777778,4.7,5.0,PROMOTOR,0.8457
679,Masculino,2.0,1.0,0.0,0.0,Operaciones,5.0,5.0,4.333333333,5.0,5.0,5.0,PROMOTOR,0.1057
682,Masculino,2.0,2.0,4.0,2.0,Operaciones,3.65625,4.066666667,3.916666667,4.6111111110000005,4.25,4.0,PROMOTOR,0.1459
683,Masculino,1.0,4.0,3.0,0.0,Operaciones,3.25,3.0333333330000003,3.083333333,3.611111111,3.1,3.0,DETRACTOR,0.0214
684,Masculino,1.0,4.0,1.0,1.0,Operaciones,1.53125,1.6333333330000002,1.5833333330000001,2.333333333,2.15,3.0,DETRACTOR,0.4803
